,Price_FC,Lower,Upper
2026-04-17,401.3213240449162,0.0001564920673546779,520875754.42455167
2026-04-20,401.8140408718723,0.00014542011572424933,556771204.309597
2026-04-21,402.3073626252478,0.0001332567265346664,609663902.4748005
2026-04-22,402.80129004773283,0.00012528728644395186,672107621.3222733
2026-04-23,403.29582388292954,0.00011674817765127467,728497522.1558534
2026-04-24,403.79096487535287,0.0001072642530839268,783325063.0613706
2026-04-27,404.2867137704319,9.813978651315237e-05,844607351.1314913
2026-04-28,404.78307131451095,9.08299362071727e-05,898793347.3827251
2026-04-29,405.2800382548505,8.330842158275237e-05,966178051.4631792
2026-04-30,405.77761533962865,7.572076757823968e-05,1038910186.8806524
2026-05-01,406.27580331794195,7.084486445682985e-05,1117441703.9422126
2026-05-04,406.7746029398067,6.482140604462235e-05,1189199899.9856188
2026-05-05,407.27401495615993,5.739512059923031e-05,1282211621.8158329
2026-05-06,407.77404011886074,5.270396655515722e-05,1370705741.191882
2026-05-07,408.2746791806913,4.942367967834908e-05,1485305409.3118434
2026-05-08,408.77593289535787,4.620192532231707e-05,1609305015.1854534
2026-05-11,409.2778020174922,4.25195771503977e-05,1729916615.9613106
2026-05-12,409.78028730265254,3.897694441540166e-05,1867655631.9125557
2026-05-13,410.2833895073246,3.616176035495879e-05,2016277261.4448462
2026-05-14,410.78710938892306,3.3167249726500075e-05,2170366303.3471847
2026-05-15,411.2914477057924,3.1434976323245134e-05,2308981161.6041923
2026-05-18,411.79640521720813,2.8747930281275937e-05,2466164260.6012564
2026-05-19,412.30198268337796,2.6814091568009154e-05,2679140293.511186
2026-05-20,412.808180865443,2.441119592906172e-05,2969042896.247294
2026-05-21,413.31500052547875,2.2704921727152575e-05,3171136079.034194
2026-05-22,413.8224424264964,2.051345324188178e-05,3435012240.786553
2026-05-25,414.3305073324439,1.9171912852865343e-05,3704059076.0197325
2026-05-26,414.8391960082071,1.7969420867474115e-05,3998886195.167181
2026-05-27,415.34850921961106,1.654160789863544e-05,4329118903.815764
2026-05-28,415.85844773342086,1.5431366871479636e-05,4656990388.831042
2026-05-29,416.36901231734305,1.4348753687412164e-05,5011508634.144998
2026-06-01,416.8802037400268,1.3395873312221213e-05,5403041702.455388
2026-06-02,417.3920227710649,1.252899150459586e-05,5806464421.096843
2026-06-03,417.904470180995,1.1533385484156195e-05,6264792999.577938
2026-06-04,418.41754674130084,1.0726923968481324e-05,6885962855.758473
2026-06-05,418.93125322441324,9.814886364761552e-06,7360553990.725312
2026-06-08,419.44559040371144,9.121548344535115e-06,7809637876.187298
2026-06-09,419.9605590535241,8.383945486476034e-06,8393325476.876839
2026-06-10,420.47615994913065,7.928254490056732e-06,9048240995.715109
2026-06-11,420.99239386676226,7.414728180002961e-06,9739894025.347803
2026-06-12,421.50926158360323,6.764037115891634e-06,10492625654.538677
2026-06-15,422.0267638777919,6.21327068902597e-06,11660201025.811989
2026-06-16,422.54490152842203,5.8203947688450076e-06,12551739350.551369
2026-06-17,423.06367531554395,5.335314711122282e-06,13506942153.500196
2026-06-18,423.5830860201656,4.968045632797474e-06,14850225598.08211
2026-06-19,424.1031344242538,4.598184788978826e-06,16012004306.400097
2026-06-22,424.62382131073554,4.207038790316502e-06,17320518157.239937
2026-06-23,425.1451474634988,3.872756200492247e-06,18629961426.313602
2026-06-24,425.6671136673942,3.5594306322438166e-06,19804629410.831028
2026-06-25,426.1897207082358,3.2667302332447848e-06,21611124145.915955
2026-06-26,426.7129693728026,3.0363347823625168e-06,23141391058.569927
2026-06-29,427.23686044883937,2.756987867421798e-06,24691063021.662563
2026-06-30,427.7613947250581,2.5664714400745584e-06,26577003981.50152
2026-07-01,428.2865729911391,2.3937608798392596e-06,28387119842.048603
2026-07-02,428.81239603773224,2.233081075458315e-06,30143476699.54497
2026-07-03,429.3388646564581,2.032590137075005e-06,32676692308.57124
2026-07-06,429.8659796399091,1.8643221669283346e-06,34901425477.01275
2026-07-07,430.39374178165076,1.7485167593792882e-06,37543075659.8103
2026-07-08,430.922151876223,1.6095723110700128e-06,40412213089.02563
2026-07-09,431.45121071914105,1.476285619673888e-06,43788779234.48425
2026-07-10,431.980919106897,1.3560872429045805e-06,47213062443.719505
2026-07-13,432.51127783696063,1.258896009642614e-06,50427865692.420494
2026-07-14,433.04228770778104,1.1569060489660705e-06,53977052033.97638
2026-07-15,433.5739495187874,1.0797693349675125e-06,59334632339.24496
2026-07-16,434.10626407039047,1.0058420794244976e-06,63779366898.6921
2026-07-17,434.6392321639837,9.350122774641982e-07,68540929048.64627
